1	-18	0.406	Fp1
2	18	0.406	Fp2
3	-36	0.406	AF7
4	-23	0.343	AF3
5	23	0.343	AF4
6	36	0.406	AF8
7	-54	0.406	F7
8	-46	0.363	F5
9	-35	0.275	F3
10	-21	0.219	F1
11	0	0.203	Fz
12	21	0.219	F2
13	35	0.275	F4
14	46	0.363	F6
15	54	0.406	F8
16	-72	0.406	FT7
17	-68	0.3	FC5
18	-60	0.219	FC3
19	-42	0.14	FC1
20	0	0.101	FCz
21	42	0.14	FC2
22	60	0.219	FC4
23	68	0.3	FC6
24	72	0.406	FT8
25	-90	0.406	T7
26	-90	0.304	C5
27	-90	0.203	C3
28	-90	0.101	C1
29	0	0	Cz
30	90	0.101	C2
31	90	0.203	C4
32	90	0.304	C6
33	90	0.406	T8
34	-108	0.406	TP7
35	-112	0.3	CP5
36	-120	0.219	CP3
37	-138	0.14	CP1
38	180	0.101	CPz
39	138	0.14	CP2
40	120	0.219	CP4
41	112	0.3	CP6
42	108	0.406	TP8
43	-126	0.406	P7
44	-134	0.343	P5
45	-145	0.275	P3
46	-159	0.219	P1
47	180	0.181	Pz
48	159	0.219	P2
49	145	0.275	P4
50	134	0.343	P6
51	126	0.406	P8
52	-144	0.406	PO7
53	180	0.304	POz
54	144	0.406	PO8
55	-162	0.406	O1
56	162	0.406	O2
